标题,UP主,分区,播放量,点赞数,评论数,弹幕数,收藏数,投币数,分享数,时长秒,发布时间,BV号,数据日期,发布小时,发布天数
这里是。地狱吗,颗粒状-KLZ,绘画,116570,20326,670,660,3974,1997,325,367,2026-07-25 13:30:05,BV1vD3u6JEgC,2026-07-26,10.498611111111112,0.43744212962962964
解压！带鸡上山灭虫，保护森林人鸡有责！,路无边616,野生动物,145836,13700,1641,2188,879,1796,301,820,2026-07-25 23:00:00,BV1t33G6CETF,2026-07-26,1.0,0.041666666666666664
假如刘禅穿越成赵构！岳飞：这剧本是刘慈欣写的吧？,-古人云-,人文历史,282563,28042,930,516,4873,800,223,155,2026-07-25 11:00:00,BV16Z3M6REEB,2026-07-26,13.0,0.5416666666666666
起猛了，我在应用商店看到了超级变色龙，画画躲猫猫，进去一看，竟是盗版！,小啦伟游戏测评,网络游戏,1478294,31548,50,191,31397,3514,19,142,2026-07-25 06:19:03,BV1bC3M6KEpp,2026-07-26,17.6825,0.7367708333333334
国内游戏这么整，你不怕老外抗议嘛？,贪玩的薛定鹅,日常,322575,15274,66,526,1909,1534,253,296,2026-07-25 12:16:22,BV1kj3g6aEiB,2026-07-26,11.727222222222222,0.48863425925925924
景德镇，你怎么才申遗成功啊？！,星球研究所,人文历史,350060,23178,989,1244,5936,4857,1709,925,2026-07-25 05:02:11,BV1DY3K6PEp5,2026-07-26,18.96361111111111,0.7901504629629629
“一种开头一个结局，一部动漫一场青春。”,学姐圆,MAD·AMV,296018,85559,1739,389,30074,15479,2846,71,2026-07-25 03:30:00,BV1urgi67EmF,2026-07-26,20.5,0.8541666666666666
爽吃,官梁和平精英,网络游戏,838204,55376,648,195,70350,4288,1478,62,2026-07-25 05:01:18,BV1aE3u63Epn,2026-07-26,18.97833333333333,0.7907638888888888
探秘车八岭 深入广东的大山里都会遇到哪些奇遇？,ZGL蛇语者,野生动物,128179,17851,377,772,1492,1228,239,801,2026-07-25 10:50:00,BV1dg3u62EnX,2026-07-26,13.166666666666666,0.548611111111111
瞬间可跨全Y轴X轴，这水门是个金丝猴啊,うえすぎ绘梨衣,手机游戏,576906,34441,1634,354,6988,1765,2786,233,2026-07-25 00:18:00,BV1kcgz63EVz,2026-07-26,23.7,0.9874999999999999
XDD扫水友号单三17杀 A大当机枪暴力扫全图 这辈子没杀过这么多人 原来不管战损能打这么爽啊！,小叮当频道,网络游戏,223915,4408,1172,1450,579,613,711,975,2026-07-25 19:42:35,BV1HC3V66EvE,2026-07-26,4.290277777777778,0.1787615740740741
内娱有自己的斧头帮女团！电影《功夫女足》插曲《Metal Flower》首舞台20260725杭州演唱会,红豆冰-M0822,明星综合,144005,5801,1389,1533,2241,5326,1051,274,2026-07-25 14:16:17,BV1oh3G6fE2v,2026-07-26,9.72861111111111,0.4053587962962963
