标题,UP主,分区,播放量,点赞数,评论数,弹幕数,收藏数,投币数,分享数,时长秒,发布时间,BV号,数据日期,发布天数,发布天数异常,点赞率,投币率,收藏率,评论率,弹幕率,分享率,三连率,币赞比,弹幕密度,日均播放,播放分层,是否爆款
这里是。地狱吗,颗粒状-KLZ,绘画,116570,20326,670,660,3974,1997,325,367,2026-07-25 13:30:05,BV1vD3u6JEgC,2026-07-26,1,True,0.17436733293300163,0.01713133739384061,0.034091104057647766,0.005747619456120786,0.005661834091104058,0.0027880243630436646,0.22558977438449002,0.09824854865689266,1.7983651226158037,116570.0,尾部低播放,0
解压！带鸡上山灭虫，保护森林人鸡有责！,路无边616,野生动物,145836,13700,1641,2188,879,1796,301,820,2026-07-25 23:00:00,BV1t33G6CETF,2026-07-26,1,True,0.0939411393620231,0.01231520337913821,0.006027318357607175,0.01125236567102773,0.015003154228036972,0.002063962258975836,0.11228366109876849,0.1310948905109489,2.6682926829268294,145836.0,尾部低播放,0
当我的粉丝死后变成猫来找我，于是我写了一首曲子…,小憩memories,演奏,2686404,108554,783,3090,40482,6187,280,308,2026-07-23 03:40:32,BV1VHgD64Eqq,2026-07-26,2,False,0.04040866526404815,0.002303078762539067,0.015069215203670036,0.00029146770180508963,0.001150236524364913,0.00010422855236963613,0.05778095923025725,0.05699467546106086,10.032467532467532,1343202.0,腰部普通,0
离开家乡是我刚毕业的人生第一课,七颗猩猩QKXX,日常,1270553,55230,1742,532,4106,2114,718,218,2026-07-23 08:40:00,BV123gS65Eey,2026-07-26,2,False,0.043469261022562614,0.001663842437112029,0.003231663692895928,0.001371056539947566,0.000418715315299716,0.0005651082638819475,0.04836476715257057,0.03827629911280101,2.4403669724770642,635276.5,腰部普通,0
假如刘禅穿越成赵构！岳飞：这剧本是刘慈欣写的吧？,-古人云-,人文历史,282563,28042,930,516,4873,800,223,155,2026-07-25 11:00:00,BV16Z3M6REEB,2026-07-26,1,True,0.09924158506244625,0.0028312270183994365,0.017245711575825568,0.003291301408889345,0.0018261414268676366,0.000789204531378843,0.11931852365667125,0.02852863561800157,3.329032258064516,282563.0,腰部普通,0
假如想要什么牌自己画,鍛碘柂,单机游戏,115153,7581,741,2144,954,1260,1445,1946,2026-07-26 04:00:00,BV1Hz3u6oEh7,2026-07-26,1,True,0.06583415108594652,0.010941964169409395,0.008284630013981399,0.006434917023438382,0.018618707285090273,0.012548522400632202,0.08506074526933731,0.16620498614958448,1.1017471736896198,115153.0,尾部低播放,0
相恋18年，作为程序员的我们，终于………………【B站AI创造公开赛】,英雄哪里出来,计算机技术,838898,35352,1511,4474,6336,13910,3209,797,2026-07-22 04:00:00,BV1eEgz6fEJQ,2026-07-26,3,False,0.04214099926331926,0.016581276865602255,0.00755276565208166,0.0018011724905769235,0.005333187109755894,0.0038252564674132014,0.06627504178100317,0.3934713736139398,5.613550815558344,279632.6666666667,腰部普通,0
起猛了，我在应用商店看到了超级变色龙，画画躲猫猫，进去一看，竟是盗版！,小啦伟游戏测评,网络游戏,1478294,31548,50,191,31397,3514,19,142,2026-07-25 06:19:03,BV1bC3M6KEpp,2026-07-26,1,True,0.021340815832303992,0.0023770643728514085,0.021238671062725006,3.382277138377075e-05,0.00012920298668600428,1.2852653125832887e-05,0.04495655126788041,0.11138582477494612,1.3450704225352113,1478294.0,头部爆款,1
国内游戏这么整，你不怕老外抗议嘛？,贪玩的薛定鹅,日常,322575,15274,66,526,1909,1534,253,296,2026-07-25 12:16:22,BV1kj3g6aEiB,2026-07-26,1,True,0.047350228629001005,0.0047554832209563665,0.005918003565062388,0.00020460358056265986,0.00163062853599938,0.000784313725490196,0.058023715415019765,0.10043210684823883,1.777027027027027,322575.0,腰部普通,0
景德镇，你怎么才申遗成功啊？！,星球研究所,人文历史,350060,23178,989,1244,5936,4857,1709,925,2026-07-25 05:02:11,BV1DY3K6PEp5,2026-07-26,1,True,0.06621150659886876,0.013874764326115523,0.01695709306975947,0.0028252299605781867,0.0035536765125978404,0.004882020225104268,0.09704336399474375,0.2095521615324877,1.344864864864865,350060.0,腰部普通,0
