标题,UP主,分区,播放量,点赞数,评论数,弹幕数,收藏数,投币数,分享数,时长秒,发布时间,BV号,数据日期
《诡语者联盟》一口气看完14小时爽看超长合集暑假特供（1-154）,周墨no放假,同人·手书,118390,6675,338,1501,11767,2287,362,49863,2026-07-25 09:30:00,BV1jag46aEod,20260726
这里是。地狱吗,颗粒状-KLZ,绘画,116570,20326,670,660,3974,1997,325,367,2026-07-25 13:30:05,BV1vD3u6JEgC,20260726
解压！带鸡上山灭虫，保护森林人鸡有责！,路无边616,野生动物,145836,13700,1641,2188,879,1796,301,820,2026-07-25 23:00:00,BV1t33G6CETF,20260726
当我的粉丝死后变成猫来找我，于是我写了一首曲子…,小憩memories,演奏,2686404,108554,783,3090,40482,6187,280,308,2026-07-23 03:40:32,BV1VHgD64Eqq,20260726
离开家乡是我刚毕业的人生第一课,七颗猩猩QKXX,日常,1270553,55230,1742,532,4106,2114,718,218,2026-07-23 08:40:00,BV123gS65Eey,20260726
假如刘禅穿越成赵构！岳飞：这剧本是刘慈欣写的吧？,-古人云-,人文历史,282563,28042,930,516,4873,800,223,155,2026-07-25 11:00:00,BV16Z3M6REEB,20260726
假如想要什么牌自己画,鍛碘柂,单机游戏,115153,7581,741,2144,954,1260,1445,1946,2026-07-26 04:00:00,BV1Hz3u6oEh7,20260726
相恋18年，作为程序员的我们，终于………………【B站AI创造公开赛】,英雄哪里出来,计算机技术,838898,35352,1511,4474,6336,13910,3209,797,2026-07-22 04:00:00,BV1eEgz6fEJQ,20260726
起猛了，我在应用商店看到了超级变色龙，画画躲猫猫，进去一看，竟是盗版！,小啦伟游戏测评,网络游戏,1478294,31548,50,191,31397,3514,19,142,2026-07-25 06:19:03,BV1bC3M6KEpp,20260726
国内游戏这么整，你不怕老外抗议嘛？,贪玩的薛定鹅,日常,322575,15274,66,526,1909,1534,253,296,2026-07-25 12:16:22,BV1kj3g6aEiB,20260726
景德镇，你怎么才申遗成功啊？！,星球研究所,人文历史,350060,23178,989,1244,5936,4857,1709,925,2026-07-25 05:02:11,BV1DY3K6PEp5,20260726
一次摸遍Galaxy Z Fold8 Ultra｜Galaxy Z Fold8,热男HotGuys,数码,368334,13711,875,521,4043,3589,341,353,2026-07-22 13:22:30,BV14MKa6UEc8,20260726
女孩儿请多多尝试新风格~,白昼小熊,穿搭,144270,22222,217,127,2680,754,215,17,2026-07-26 08:01:59,BV1TH3j6pEw6,20260726
当学校里有名痞子师时,天舒-天舒班,小剧场,1035260,45362,317,633,10181,764,186,246,2026-07-24 08:18:37,BV1kegY6sEwC,20260726
“一种开头一个结局，一部动漫一场青春。”,学姐圆,MAD·AMV,296018,85559,1739,389,30074,15479,2846,71,2026-07-25 03:30:00,BV1urgi67EmF,20260726
五星上将的警惕性,麦克阿瑟MacArthur,搞笑,7298401,463425,6733,1811,31232,5520,5407,35,2026-07-22 02:27:40,BV1EXgz6iE7N,20260726
【心月弗传-完结】罚你等我，很久很久,ccwuli三角叶,网络游戏,54131,8617,544,240,3161,5285,1063,351,2026-07-26 04:04:34,BV1BE376VEPR,20260726
循环歌单|【LUV SIC】|“【优雅の小曲】”,蛋某人音乐,乐评盘点,1778723,50734,618,93,18827,666,276,2967,2026-07-23 00:00:00,BV1aHgz6oES3,20260726
镜头歪了！我的世界变得像从天而降的梦境,TTARTISAN铭匠,数码,4473853,161777,1165,212,18371,1168,1280,21,2026-07-20 09:30:00,BV1P9KF6ZEpv,20260726
全 网 最 幸 运 的 动 画 教 程   3.5,滑铲师SQsir,同人·手书,2982562,292701,1733,1563,97367,31379,5969,416,2026-07-19 12:52:52,BV1BfKr6vEQr,20260726
🐔回 归 鸡 本 功⚡,浪迹天涯的小光,人力VOCALOID,3019808,140958,4137,875,22509,21430,16083,67,2026-07-22 03:37:00,BV1Utgz6XEsP,20260726
